model,acc,weighted_f1,sensitivity,specificity
convnext,0.689,0.6877,0.7652,0.5583
densenet161,0.7256,0.7241,0.7977,0.6019
efficientnet-b0,0.7185,0.7224,0.7242,0.7087
max_vit,0.6962,0.6945,0.7737,0.5631
resnext101,0.7015,0.7021,0.7581,0.6044
swintransformer,0.639,0.6301,0.7666,0.4199
vgg16,0.7373,0.7369,0.7963,0.6359
vison_transformer,0.6559,0.6587,0.7016,0.5777
