model,acc,weighted_f1,sensitivity,specificity
convnext,0.7078,0.7105,0.7369,0.6578
densenet161,0.7122,0.7161,0.7214,0.6966
efficientnet-b0,0.7283,0.7321,0.7313,0.7233
max_vit,0.6971,0.6907,0.8062,0.5097
resnext101,0.7024,0.6955,0.8147,0.5097
swintransformer,0.6077,0.604,0.7129,0.4272
vgg16,0.706,0.707,0.7567,0.6189
vison_transformer,0.6926,0.687,0.7977,0.5121
